article,date,pageview
Nelson Mandela,2015-06-15,5849
Nelson Mandela,2015-06-16,5926
Nelson Mandela,2015-06-17,5845
Nelson Mandela,2015-06-18,5816
Nelson Mandela,2015-06-19,4773
Nelson Mandela,2015-06-20,3567
Nelson Mandela,2015-06-21,3981
Nelson Mandela,2015-06-22,5582
Nelson Mandela,2015-06-23,5557
Nelson Mandela,2015-06-24,4961
Nelson Mandela,2015-06-25,4550
Nelson Mandela,2015-06-26,3505
Nelson Mandela,2015-06-27,2903
Nelson Mandela,2015-06-28,3563
Nelson Mandela,2015-06-29,4408
Nelson Mandela,2015-06-30,4233
Nelson Mandela,2015-07-01,4350
Nelson Mandela,2015-07-02,4385
Nelson Mandela,2015-07-03,3654
Nelson Mandela,2015-07-04,2707
Nelson Mandela,2015-07-05,3176
Nelson Mandela,2015-07-06,3957
Nelson Mandela,2015-07-07,4165
Nelson Mandela,2015-07-08,4064
Nelson Mandela,2015-07-09,4065
Nelson Mandela,2015-07-10,3035
Nelson Mandela,2015-07-11,2685
Nelson Mandela,2015-07-12,3438
Nelson Mandela,2015-07-13,4113
Nelson Mandela,2015-07-14,4208
Nelson Mandela,2015-07-15,4929
Nelson Mandela,2015-07-16,7223
Nelson Mandela,2015-07-17,5122
Nelson Mandela,2015-07-18,7260
Nelson Mandela,2015-07-19,4615
Nelson Mandela,2015-07-20,4967
Nelson Mandela,2015-07-21,4955
Nelson Mandela,2015-07-22,4721
Nelson Mandela,2015-07-23,4228
Nelson Mandela,2015-07-24,3714
Nelson Mandela,2015-07-25,2920
Nelson Mandela,2015-07-26,3306
Nelson Mandela,2015-07-27,6055
Nelson Mandela,2015-07-28,5064
Nelson Mandela,2015-07-29,4409
Nelson Mandela,2015-07-30,4424
Nelson Mandela,2015-07-31,3494
Nelson Mandela,2015-08-01,2852
Nelson Mandela,2015-08-02,3152
Nelson Mandela,2015-08-03,3473
Nelson Mandela,2015-08-04,5717
Nelson Mandela,2015-08-05,5218
Nelson Mandela,2015-08-06,4774
Nelson Mandela,2015-08-07,3641
Nelson Mandela,2015-08-08,2926
Nelson Mandela,2015-08-09,3460
Nelson Mandela,2015-08-10,3751
Nelson Mandela,2015-08-11,4398
Nelson Mandela,2015-08-12,4166
Nelson Mandela,2015-08-13,4317
Nelson Mandela,2015-08-14,3330
