article_15,editor,gender,editcount,registration,emailable,rigths
Free_State_(province),FierceJake754,unknown,1579,2014-05-06T00:10:32Z,no,45
Free_State_(province),Frietjes,female,353873,2011-01-14T18:24:41Z,undefined,48
Free_State_(province),Nicdb,unknown,101,2011-12-28T07:17:54Z,undefined,45
Free_State_(province),TheMightyPeanut,male,60102,2008-05-01T00:26:01Z,no,46
Free_State_(province),Xufanc,male,51211,2008-08-28T15:25:13Z,undefined,48
Freedom_Day_(South_Africa),Anthere,unknown,9398,2002-05-31T13:30:06Z,undefined,106
Freedom_Day_(South_Africa),Kasidev,unknown,24,2012-04-07T09:04:52Z,undefined,45
Freedom_Day_(South_Africa),Marcocapelle,male,80497,2011-07-18T12:06:52Z,undefined,45
Freedom_Day_(South_Africa),Yobot,bot,4271822,2008-06-17T22:33:17Z,undefined,53
Gana_and_Gwi_people,Abrahamic Faiths,male,21045,2013-02-03T16:51:26Z,no,45
Gana_and_Gwi_people,AnomieBOT,bot,2123162,2008-08-07T17:09:33Z,undefined,53
Gana_and_Gwi_people,Fiona Burness,unknown,7,2015-01-07T19:30:13Z,no,31
Gana_and_Gwi_people,RJFJR,unknown,75526,2004-11-26T14:52:42Z,undefined,106
Gana_and_Gwi_people,Yobot,bot,4271822,2008-06-17T22:33:17Z,undefined,53
Gangster,ClueBot NG,bot,3780245,2010-10-20T17:01:19Z,undefined,56
Gangster,Darylgolden,unknown,6531,2012-01-20T09:54:38Z,undefined,46
Gangster,Eduardofeld,male,5336,2012-01-06T04:26:52Z,undefined,47
Gangster,Nyttend,male,248447,2006-08-08T15:03:10Z,undefined,107
Gangster,Oshwah,male,64633,2007-01-05T08:11:14Z,undefined,53
Gangster,Wiae,unknown,53449,2007-02-08T14:19:23Z,no,49
Gas,ChristopherKingChemist,unknown,543,2008-12-07T18:09:57Z,undefined,45
Gas,ClueBot NG,bot,3780245,2010-10-20T17:01:19Z,undefined,56
Gas,Gap9551,male,28953,2008-11-21T10:17:53Z,undefined,47
Gas,Gilo1969,unknown,59014,2008-11-08T14:31:15Z,undefined,49
Gas,Jmath666,unknown,3160,2007-02-13T21:53:27Z,undefined,47
Gas,Materialscientist,unknown,688119,2008-09-14T01:47:33Z,undefined,109
Gauteng,Andynct,unknown,724,2009-05-27T16:16:27Z,undefined,45
Gauteng,BurritoBazooka,unknown,2997,2012-10-13T12:45:06Z,undefined,45
Gauteng,Fred wander,unknown,21,2011-07-22T15:32:48Z,no,45
Gauteng,FrescoBot,bot,675226,2009-02-19T07:08:26Z,undefined,53
Gauteng,Mohaum,unknown,3,2015-11-10T10:52:19Z,no,31
Gauteng,MsSheenaD,unknown,3,2015-10-17T15:37:15Z,undefined,31
Gauteng,Rubbish computer,male,54877,2014-11-05T22:01:11Z,undefined,49
Gender_role,Benjetson,unknown,68,2015-10-28T00:38:04Z,no,45
Gender_role,ClueBot NG,bot,3780245,2010-10-20T17:01:19Z,undefined,56
Gender_role,Cvah,unknown,7,2015-11-04T21:59:10Z,undefined,31
